event,performer,num_perf
53,perf_37,12
53,perf_103,2
52,perf_42,8
51,perf_17,7
51,perf_6,4
51,perf_11,4
51,perf_49,2
51,perf_101,4
51,perf_110,4
51,perf_30,4
50,perf_38,9
50,perf_43,2
50,perf_56,4
50,perf_4,
49,perf_11,7
49,perf_71,2
48,perf_6,8
48,perf_18,3
48,perf_39,2
48,perf_55,2
47,perf_47,6
47,perf_44,2
47,perf_59,2
47,perf_46,2
47,perf_13,3
46,perf_81,7
46,perf_74,2
46,perf_106,2
46,perf_107,2
46,perf_25,2
45,perf_91,6
44,perf_10,5
43,perf_92,5
42,perf_69,8
42,perf_26,
41,perf_87,4
40,perf_64,5
39,perf_35,2
39,perf_34,4
39,perf_62,4
39,perf_57,2
39,perf_41,3
39,perf_37,2
39,perf_86,
39,perf_88,
38,perf_73,3
38,perf_60,3
38,perf_79,2
37,perf_98,4
36,perf_1,4
36,perf_61,4
36,perf_9,2
36,perf_51,2
36,perf_57,2
35,perf_66,2
35,perf_14,2
35,perf_24,2
35,perf_93,2
34,perf_27,4
34,perf_78,5
34,perf_7,2
33,perf_8,4
33,perf_75,4
33,perf_50,3
33,perf_89,5
33,perf_70,3
33,perf_29,2
32,perf_82,4
32,perf_111,4
32,perf_33,4
31,perf_19,11
30,perf_63,4
30,perf_94,3
30,perf_5,3
30,perf_53,2
29,perf_16,3
29,perf_80,3
29,perf_96,3
29,perf_85,2
29,perf_109,3
28,perf_54,6
27,perf_27,3
27,perf_103,
26,perf_58,3
25,perf_65,2
25,perf_21,2
25,perf_32,2
25,perf_68,
25,perf_84,
25,perf_67,
24,perf_23,8
23,perf_15,3
23,perf_72,
23,perf_77,
22,perf_29,9
22,perf_77,9
21,perf_105,
20,perf_95,
19,perf_90,8
19,perf_83,8
18,perf_45,
17,perf_105,
16,perf_84,
16,perf_31,
15,perf_105,
15,perf_29,
14,perf_40,
14,perf_28,
13,perf_97,
13,perf_65,
13,perf_2,
12,perf_45,
11,perf_105,
10,perf_52,
10,perf_29,
9,perf_104,
9,perf_36,
8,perf_102,
8,perf_108,
8,perf_3,
7,perf_22,
7,perf_12,
7,perf_2,
7,perf_99,
6,perf_76,
5,perf_48,
5,perf_20,
5,perf_2,
5,perf_84,
4,perf_26,
3,perf_29,
2,perf_100,
2,perf_29,
2,perf_2,
1,perf_111,
1,perf_26,
